lien,groupe_parlementaire,departement
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/806/(legislature)/47,Communiste,Isère
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/809/(legislature)/47,Républicain radical et radical-socialiste,Hautes-Pyrénées
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/815/(legislature)/47,Communiste,Bouches-du-Rhône
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/819/(legislature)/47,Socialiste,Seine-Maritime
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/828/(legislature)/47,Communiste,Martinique
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/875/(legislature)/47,Communiste,Indre
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/883/(legislature)/47,Communiste,Haute-Savoie
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/888/(legislature)/47,Union démocratique et socialiste de la Résistance et du RDA,Soudan
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/893/(legislature)/47,Non inscrit ,Oubangui-Chari
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/899/(legislature)/47,Indépendants et paysans d'action sociale,Cher
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/907/(legislature)/47,Communiste,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/929/(legislature)/47,Union et fraternité francaise,Sarthe
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/9086/(legislature)/47,Indépendants d'outre-mer,Haute-Volta
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/933/(legislature)/47,Républicain radical et radical-socialiste,Nord
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/937/(legislature)/47,Union démocratique et socialiste de la Résistance et du RDA,Seine-et-Oise
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/949/(legislature)/47,Rassemblement des gauches républicaines et du centre républicain,Dordogne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/948/(legislature)/47,Mouvement républicain populaire,Morbihan
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/960/(legislature)/47,Communiste,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/991/(legislature)/47,Indépendants et paysans d'action sociale,Aveyron
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1037/(legislature)/47,Socialiste,Côte-d'Or
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1064/(legislature)/47,Communiste,Vienne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1072/(legislature)/47,Communiste,Ain
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1078/(legislature)/47,Union et fraternité francaise,Côtes-du-Nord
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1081/(legislature)/47,Républicains sociaux,Haut-Rhin
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1089/(legislature)/47,Républicain radical et radical-socialiste,Haute-Garonne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1121/(legislature)/47,Communiste,Indre-et-Loire
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1124/(legislature)/47,Communiste,Saône-et-Loire
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1145/(legislature)/47,Mouvement républicain populaire,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1146/(legislature)/47,Union et fraternité francaise,Charente-Maritime
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1179/(legislature)/47,Indépendants et paysans d'action sociale,Manche
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1199/(legislature)/47,Union et fraternité française,Ain
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1222/(legislature)/47,Républicains sociaux,Aisne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1227/(legislature)/47,Socialiste,Haute-Savoie
